prot	counter
Q96SF7-2	21
O43435	23
O43435-2	22
O43435-3	25
Q99593	27
Q99593-2	20
Q99593-3	24
Q8WW35	9
P50991	37
P50991-2	34
P48643	37
P48643-2	31
A6NM43	24
Q96SF2	26
Q8NHU6	68
Q8NHU6-2	61
Q8NHU6-3	25
Q9UIK5	20
Q9UIK5-2	19
Q9UIK5-3	10
Q9BXF9	29
Q96M29	36
Q9UKZ4	126
Q9UKZ4-2	127
Q9NT68	133
Q9NT68-2	123
Q9P273	138
Q68CZ2	61
Q68CZ2-2	49
Q68CZ2-3	19
Q68CZ2-4	13
O14746	69
O14746-2	50
O14746-3	68
O14746-4	49
Q96S53	31
Q96S53-2	32
Q96S53-3	32
Q9Y6M0	13
Q9Y6M0-2	13
Q9Y6M0-3	12
Q9UGI8	27
Q9UGI8-2	26
Q8IYF3	56
Q8IYF3-2	40
Q8IYF3-3	57
A0A1B0GTD5	9
Q9UNN4	16
Q9UNN4-2	13
O95379	13
O95379-2	12
O95379-3	12
O95379-4	13
P0C1Z6	11
P0C1Z6-2	10
P22735	46
P22735-2	19
P21980	36
P21980-2	28
P21980-3	13
Q9P2Z0	13
Q8WTV1	15
Q8WTV1-3	15
Q8WTV1-4	12
Q8TBB0	11
Q8TBB0-2	11
Q8TBB0-3	10
Q9H5L6	57
Q8WUY1	16
Q9BWD1	20
Q9BWD1-2	22
P42765	23
Q96J01	19
Q96J01-2	17
P31483	19
P31483-2	18
P31483-3	17
Q9NPL8	18
O15164	58
O15164-2	56
Q13263	32
Q13263-2	29
P49788	14
P49788-2	11
Q4W5G0	28
Q17RP2	27
O43615	31
Q96H15	16
Q96H15-2	15
P01033	11
Q86UU9	5
Q86UU9-2	4
Q86UU9-3	3
Q86UU9-4	2
Q86UU9-5	5
Q04725	32
Q04725-2	26
Q04725-3	25
O43294	23
O43294-2	22
Q9GZN2	12
Q9GZN2-2	6
O43548	30
O43548-2	29
H3BV60	13
Q9H0W7	16
Q8NA92	10
P10828	22
P10828-2	20
Q8N1K5	37
Q8N1K5-2	37
Q8N1K5-3	35
Q8N1K5-4	40
Q96FV9	41
Q96FV9-2	23
O60830	11
O60830-2	14
Q5SRD1	12
O95411	7
Q13009	91
Q13009-2	87
Q08629	22
Q7Z2Z1	89
Q7Z2Z1-2	89
Q53EQ6	39
Q53EQ6-2	37
O14925	10
Q9BSF4	14
Q9Y5J9	7
P16035	14
P35625	12
O75663	19
O75663-2	13
P58753	8
P58753-2	9
P58753-3	10
Q07352	17
P0CAT3	5
Q9NV29	5
Q8N9M5	21
Q96I45	6
Q8N616	2
Q9Y6G1	5
Q8N614	17
Q5U3C3	10
Q5U3C3-2	5
A6NGA9	11
A6NML5	3
Q68D42	13
Q8N7C4	13
Q8N7C4-2	11
Q9H0R3	9
Q9H0R3-2	6
C9JQI7	38
C9JQI7-2	31
C9JI98	5
Q24JQ0	8
Q24JQ0-2	7
Q24JQ0-3	5
Q5VVB8	2
P0C7T8	5
Q8TBM7	3
Q8TBM7-2	1
Q8TBM7-3	1
P61165	2
Q86T03	16
Q86T03-2	16
Q86T03-3	8
Q9NUR3	13
Q96K49	28
Q96K49-2	28
Q7Z6W1	7
Q8WW62	8
Q9Y3B3	14
Q9Y3B3-2	12
Q9BZD6	12
Q6UXZ0	14
Q6UXZ0-2	12
P0DMS9	14
P0DMS9-2	12
Q86YD3	16
Q86YD3-2	16
Q86YD3-3	10
Q86YD3-4	15
Q86YD3-5	15
Q9HBJ8	11
Q2T9K0	25
Q2T9K0-2	21
Q2T9K0-4	19
Q2T9K0-6	22
Q2T9K0-7	22
Q9NW97	10
Q969K7	9
Q969K7-2	9
Q969K7-3	9
Q6PEY1	6
A6NDV4	16
A6NDV4-2	9
A6NDV4-3	9
Q06643	8
Q06643-2	2
P41273	12
Q9H2K2	65
P11387	47
Q5JU69	15
Q5JU69-2	10
Q5JU69-5	4
C9J3V5	7
Q5JUR7	16
Q5JUR7-2	7
Q5T0J7	14
Q5T0J7-2	13
Q5T0J7-3	9
Q5T0J7-4	10
Q5T0J7-5	12
A0A1B0GUV7	8
Q8N6V9	25
Q8N6V9-2	20
P52655	7
P52655-2	4
Q9NQB0	23
Q9NQB0-2	24
Q9NQB0-3	24
Q9NQB0-4	24
Q9NQB0-5	23
Q9NQB0-6	24
Q9NQB0-7	24
Q9NQB0-8	22
Q9NQB0-9	24
Q9NQB0-10	23
Q9NQB0-11	24
Q9NQB0-12	22
Q9NQB0-13	23
Q9NQB0-14	23
Q9NQB0-15	23
Q9NQB0-16	22
Q9NQB0-17	11
Q01664	21
P19532	19
P19532-2	4
Q07654	3
P13726	16
P13726-2	11
Q03167	31
Q03167-2	31
O95455	23
P01135	6
P01135-2	6
P01135-3	6
P01135-4	6
P01135-5	6
Q9NVV9	11
Q9NVV9-2	5
Q9NWX6	18
Q86YJ6	30
Q86YJ6-2	24
Q86YJ6-3	23
Q86YJ6-4	29
Q86YJ6-5	15
Q86V81	15
Q86W42	20
Q86W42-2	19
Q86W42-3	17
P52888	40
P52888-2	14
P00734	35
Q92748	8
Q6ZMP0	52
Q6ZMP0-2	26
Q6ZMP0-3	15
Q6ZMP0-4	33
Q9BU02	14
Q9BU02-2	7
Q16762	19
Q9BVV7	19
Q9UJW2	36
Q9UJW2-2	24
Q8WZ42	2088
Q8WZ42-2	2082
Q8WZ42-3	1665
Q8WZ42-4	2039
Q8WZ42-5	2016
Q8WZ42-6	311
Q8WZ42-7	2045
Q8WZ42-8	2094
Q8WZ42-9	1672
Q8WZ42-10	1671
Q8WZ42-11	2038
Q8WZ42-12	2165
Q8WZ42-13	2096
Q9UKI8	37
Q9UKI8-2	37
Q9UKI8-3	26
Q9UKI8-4	32
Q9UKI8-5	36
O60603	48
Q9NR97	56
Q9NR97-2	57
O43711	9
Q8NE00	18
Q8NE00-2	12
Q6UX40	3
Q6UX40-2	4
Q6UX40-3	5
Q6UX40-4	4
Q9BVC6	10
Q6ZRR5	6
Q6ZRR5-2	3
Q6ZRR5-3	8
Q6ZRR5-4	5
Q9NPI0	5
Q9NPI0-2	1
Q9NPI0-3	3
Q96AN5	30
Q96AN5-2	26
Q96AN5-3	10
Q7Z5S9	6
Q7Z5S9-2	4
Q6UXP3	5
Q6P9G4	8
Q96HH4	13
Q8WVE6	10
Q8WVE6-2	9
Q8WUU8	4
Q8WUU8-2	5
Q9P2C4	30
A5PLL7	11
A5PLL7-2	10
Q8IY95	13
Q8IY95-2	12
Q5HYL7	5
Q5HYL7-2	4
Q5HYL7-3	3
Q5HYL7-4	5
Q66K66	13
Q8N511	12
Q6UW68	6
Q9H813	18
Q9H813-2	21
Q6ICI0	5
A2RU14	4
A6NGB7	6
Q9H6L2	17
Q9H6L2-2	20
Q9H6L2-3	9
Q96Q45	14
Q96Q45-2	13
Q96Q45-3	16
Q96Q45-4	8
Q96Q45-5	14
Q5SV17	6
Q9NWH2	8
Q9H330	30
Q9H330-2	28
Q9H330-3	11
Q9H330-4	19
Q8N6I4	8
Q8N6I4-2	6
Q8N6I4-3	8
A0A087WTH1	4
Q8NCS4	7
Q5BJD5	10
Q5BJD5-2	8
Q5BJD5-3	7
Q8N4L2	17
Q99805	24
Q9Y2S6	2
Q8TDI7	41
Q8TDI7-3	34
Q8TDI7-4	7
Q7Z404	30
Q7Z404-1	30
Q7Z404-3	13
A8MYB1	22
P82094	71
P82094-2	71
Q96MV1	14
Q6PI78	12
Q5SWH9	8
Q5T7P6	6
A0PJX8	14
A2RUT3	8
Q8N816	2
Q8N816-2	2
P28289	19
P28289-2	14
Q5T4D3	38
Q5T4D3-2	31
Q5T4D3-3	39
Q5T4D3-4	34
O95150	16
O95150-2	14
O95150-3	12
P23510	8
P23510-2	7
Q6ICL3	18
Q6ICL3-2	15
Q6ICL3-3	19
Q6ICL3-4	20
Q6ICL3-5	10
Q6ICL3-6	13
Q13470	32
Q13470-2	32
Q92973	35
Q92973-2	35
Q92973-3	31
Q9Y5U5	8
Q9Y5U5-2	9
Q9Y5U5-3	7
P20333	13
P20333-2	7
O75509	38
P36941	11
P36941-2	13
P25942	13
P25942-2	12
Q9HCJ0	64
Q9HCJ0-2	63
Q63HR2	67
Q63HR2-2	61
Q63HR2-4	67
Q63HR2-5	57
Q63HR2-6	67
Q8NFQ8	25
Q96EI5	15
Q96EI5-2	29
Q9UHQ7	8
Q8IUC6	25
Q86XR7	14
Q86XR7-2	25
O75764	23
O75764-2	12
Q9UGU0	97
Q9UGU0-2	95
P56279	8
P17987	35
Q9H147	27
Q5VZ19	23
Q5VZ19-2	24
O60522	125
O60522-2	124
Q3Y452	6
Q86YL5	10
Q86YL5-2	11
Q8N8B7	18
Q8N8B7-2	21
Q969V4	29
P24821	104
P24821-2	87
P24821-3	89
P24821-4	102
P24821-5	85
P24821-6	80
Q92752	56
Q92752-2	55
Q8IZW8	34
Q14188	14
Q14188-2	10
Q14188-3	10
Q14188-4	11
Q14188-5	11
Q14188-6	10
Q14188-7	9
Q14188-8	11
P48307	10
P48307-2	10
P49221	46
Q9BXR0	19
Q9BXR0-2	9
Q96EK4	8
P24557	32
P24557-2	27
P24557-3	33
P24557-4	24
P10827	28
P10827-2	26
P10827-3	27
P10827-4	27
P0DJG4	31
Q9P2T0	29
Q9P2T0-2	28
Q8IYQ7	39
Q13769	39
Q8IVF5	96
Q8IVF5-2	98
Q8IVF5-3	33
Q8IVF5-4	56
Q8IVF5-5	95
Q9BQ16	23
Q9BQ16-1	23
Q9BQ16-2	21
Q9BQ16-4	19
Q9BQ16-5	17
Q9BQ16-6	18
Q9BQ16-7	16
Q9BQ16-8	20
Q9BQ16-9	21
Q6ZNK6	9
Q6B0B8	31
Q8IY51	32
A6NFA1	17
Q86X45	31
Q86X45-2	27
P62072	8
Q96EM0	20
Q8TC07	37
Q8TC07-2	36
Q8TC07-3	36
Q8N5T2	26
Q8N5T2-2	22
Q8IYX1	19
Q8IYX1-2	15
A6NDS4	30
A6NER0	30
A0A087WXS9	30
Q0IIM8	60
Q0IIM8-2	32
Q0IIM8-3	32
Q9Y4P3	31
O60806	15
Q9Y458	26
Q9Y458-2	17
Q13207	36
P57082	25
P57082-2	25
Q8N3R3	26
Q8N3R3-2	7
Q8N3R3-3	4
Q8N3R3-4	19
Q969E4	15
Q8IYN2	7
O95988	8
P20061	16
P20062	22
P20062-2	19
P53999	10
Q5QJE6	39
B5MCY1	118
Q15561	14
Q15561-2	11
Q15561-3	13
Q15185	9
Q15185-2	6
Q15185-3	8
Q15185-4	10
Q9NZ01	17
Q9NZ01-2	7
Q6NUS6	18
Q6NUS6-2	16
Q6NUS6-3	14
Q6NUS6-4	7
Q6NUS6-5	14
O75443	99
Q5T9Z0	10
Q86WV5	5
Q9HBL0	90
Q9HBL0-2	26
P22105	161
P22105-2	31
P22105-3	161
P22105-4	161
O15482	21
O43247	20
O43247-2	14
Q96LM6	11
Q6ZYL4	5
Q8IUE0	15
Q92664	18
Q92664-2	15
Q9Y5Q9	47
Q9Y5Q9-2	21
Q9Y5Q8	36
Q9Y5Q8-2	35
Q9Y5Q8-3	37
Q04206	26
Q04206-2	26
Q04206-3	25
Q04206-4	26
Q14186	13
Q14186-2	9
Q5H9I0	14
P15923	20
P15923-2	20
P15923-3	23
P10646	13
P10646-2	11
P25325	19
P25325-2	20
P01266	124
P01266-2	121
Q96DA6	10
Q96DA6-2	8
Q3ZCQ8	15
Q3ZCQ8-2	23
Q3ZCQ8-3	10
Q9H0I9	29
Q96CP7	7
Q96CP7-2	6
Q6P9B6	26
Q9UL52	24
Q5BJH2	4
Q5BJH2-2	4
Q8WZ71	7
Q8WZ71-2	8
Q6ZP80	5
Q6ZP80-2	1
Q6ZP80-3	1
Q14656	9
Q8WZ59	7
O75674	15
O75674-2	15
O75674-3	13
Q969S6	7
A2RRL7	3
A2RRL7-2	4
A2RRL7-3	3
A2RRL7-4	6
B4DJY2	4
A6NFC5	1
A6NFC5-2	2
A6NFC5-3	1
Q9BRR3	22
Q2WGJ8	14
Q8N6L7	3
Q8N2U0	2
E9PQX1	5
Q0VDI3	12
Q9NV64	22
Q9NV64-2	3
Q96HV5	10
Q8TDI8	30
O94876	37
O94876-2	27
Q96DC7	14
Q96DC7-2	14
Q13445	6
Q9Y3Q3	13
Q9Y3Q3-2	10
Q6PL24	12
P49755	13
Q9P0T7	12
Q6ZUK4	18
Q6ZUK4-2	10
Q5JXX7	6
Q8WWA1	7
Q8WWA1-2	6
Q8WWA1-3	5
Q9NRS4	18
Q9NRS4-2	18
Q9NRS4-3	18
Q9NRS4-4	16
Q9BYE2	31
Q9BYE2-2	30
Q9BYE2-5	31
Q9BYE2-3	30
Q9BYE2-4	26
O95407	15
P36897	28
P36897-2	28
P36897-3	25
Q96PF1	38
O43493	26
O43493-2	23
O43493-3	25
O43493-4	18
O43493-5	24
O43493-6	14
Q9Y4F4	93
Q9Y4F4-2	52
Q9Y4F4-3	53
Q6ZUX3	68
Q6ZUX3-2	40
Q6ZUX3-3	15
Q96RS0	45
Q6YHU6	107
Q6YHU6-2	87
Q6YHU6-3	103
Q6YHU6-4	38
Q6YHU6-5	49
Q6YHU6-6	47
Q8WY91	28
Q8WY91-2	5
P05543	23
Q5T1C6	13
P09110	19
P09110-2	13
Q8NI27	85
Q8NI27-2	21
Q9NXG2	25
P04216	7
Q01085	20
Q01085-2	21
Q92563	21
Q92563-2	4
Q9Y5J7	6
Q9UNS1	67
Q9UNS1-2	67
Q3LXA3	31
Q3LXA3-2	27
A6NGC4	10
O60602	45
Q9NYK1	57
Q6UXF1	21
Q6UXF1-2	16
Q6PF06	10
Q6PF06-2	9
Q6PF06-5	7
Q6PF06-3	5
Q6PF06-4	8
Q9H0C3	23
Q4V9L6	9
Q86T26	17
O60235	17
Q6ZWK6	23
Q9BTD3	16
Q96AQ2	7
O75204	5
A0AVI4	14
A0AVI4-2	10
Q92545	78
Q86UB9	31
Q86UB9-2	29
A8MWL7	5
Q9BSA9	15
Q9BSA9-2	11
Q53S58	11
Q9BSN7	8
Q9BTX3	4
Q9BTX3-2	2
Q96SK2	26
Q96SK2-2	26
Q96SK2-3	23
Q96SK2-4	5
Q6NUQ4	37
Q6NUQ4-2	35
Q86XT9	10
Q8WY98	6
Q8WY98-2	9
Q8WY98-3	6
Q8WY98-4	4
Q9BU79	4
H0YL14	8
A0A1B0GVZ9	8
Q6UE05	8
Q6UE05-2	5
Q9BRN9	13
Q9BRN9-2	10
Q53FP2	8
Q9BZW4	13
Q9BZW4-2	11
Q9NS93	14
Q5TEJ8	35
Q5TEJ8-2	12
Q5TEJ8-3	29
Q5TEJ8-4	7
Q5TEJ8-5	29
Q5TEJ8-6	26
Q6I9Y2	16
Q9BTF0	36
Q9BTF0-2	24
Q9Y6L7	57
Q9Y4G6	148
Q96IK0	8
Q8N8V8	3
Q8TBZ6	23
Q8NCL8	8
Q8NCL8-2	9
Q8NCL8-3	9
Q6ZMR5	21
Q6ZMR5-2	21
Q9NV12	4
Q8NBT3	17
Q9NUH8	5
Q9NUH8-2	4
Q9P0S9	5
Q4W5P6	10
Q9NX00	8
Q8TC26	17
Q8TC26-2	7
Q8TC26-3	4
Q9H0V1	32
Q9H0V1-2	16
Q6ZVM7	22
Q6ZVM7-2	18
Q6ZVM7-3	19
Q6ZVM7-4	9
Q6ZVM7-5	20
Q5SNT2	25
Q5SNT2-2	14
Q6QAJ8	7
Q6QAJ8-2	7
A0PJW6	11
Q6GV28	14
Q96B21	9
O95807	8
Q8N661	3
Q7Z7H5	15
Q7Z7H5-2	14
Q7Z7H5-3	13
O14669	6
Q9BZD7	14
Q9NVH6	33
Q9NVH6-3	29
Q9NVH6-4	23
Q9NVH6-2	26
Q9NVH6-5	28
Q9NVH6-6	28
Q9NVH6-7	27
Q9NVH6-8	34
Q6P2H8	16
Q6P2H8-2	11
Q8N0U2	6
Q96MH6	15
Q96MH6-2	11
Q96MH6-3	3
Q9BUB7	13
Q9BUB7-2	7
Q9BUB7-3	6
Q8N9X5	7
Q9BSE2	23
Q3KNT9	11
Q3KNT9-2	10
Q3KNT9-3	13
Q8IU80	41
Q8IU80-1	40
Q8IU80-2	20
Q8IU80-5	41
Q86WS5	19
Q8IUR5	50
Q8IUR5-1	44
Q8IUR5-2	39
Q8IUR5-3	27
Q8IUR5-4	15
Q9BVT8	5
Q9Y320	18
Q9Y320-2	16
Q96JJ7	24
Q96JJ7-2	13
Q9Y275	17
Q9Y275-2	16
Q9Y275-3	9
O43557	12
O43557-2	10
Q9UNG2	11
Q59H18	42
Q59H18-1	47
Q59H18-3	36
Q59H18-4	43
Q9UKE5	71
Q9UKE5-2	69
Q9UKE5-3	68
Q9UKE5-4	70
Q9UKE5-5	66
Q9UKE5-6	68
Q9UKE5-7	67
Q9UKE5-8	65
Q96KP6	20
Q96KP6-2	25
Q96KP6-3	26
P19237	14
P48788	12
P48788-2	11
O95271	65
O95271-2	31
P45378	13
P45378-2	13
P45378-3	13
P45378-4	13
P45378-5	14
P45378-6	13
P45378-7	13
O14787	35
O14787-2	34
Q9NP84	7
Q9NP84-2	4
Q02223	11
Q02223-2	8
P19438	20
P19438-2	15
P19438-4	10
P19438-3	8
P19438-5	12
Q9UPQ9	78
Q9UPQ9-1	76
Q9UPQ9-2	32
Q14106	13
Q14106-2	12
Q15785	21
Q8N9V7	102
Q8N2E6	12
Q96CG3	9
Q96MW7	38
Q6NT04	38
Q6NT04-2	35
Q495A1	7
Q495A1-2	4
O60220	7
Q96A98	7
Q9UK28	13
Q96EY4	10
Q5TGY1	28
Q5TGY1-2	25
Q9BVK6	16
Q8TAF8	9
P17152	8
P57088	11
Q9BXS4	16
Q6YI46	14
Q6YI46-2	3
Q6YI46-3	10
Q6YI46-4	15
Q12767	51
Q12767-2	54
Q9Y2Y6	10
Q6ZT21	13
Q6ZT21-2	9
O15393	17
O15393-2	20
Q9H3S3	22
Q9H1E5	16
P32971	7
Q92956	10
Q92956-2	6
P25445	20
P25445-2	4
P25445-3	3
P25445-4	8
P25445-5	7
P25445-6	19
P25445-7	11
Q07011	13
Q8N6T0	24
Q8N6T0-4	28
Q8N6T0-5	24
Q8N4H5	5
Q8N4H5-2	7
Q8N4H5-3	6
Q8WZ04	18
Q8WZ04-2	17
O95985	48
O95985-2	43
O95985-3	42
Q9NS56	63
Q9NS56-2	60
Q9H497	27
Q9H497-2	23
Q9H497-3	11
Q96NM4	15
Q96NM4-2	17
Q96NM4-3	13
Q96NM4-4	14
O94900	14
Q86W33	12
Q86W33-2	10
Q86W33-3	14
Q8N7U7	6
Q8N7U7-2	6
Q9BX59	16
Q9BX59-2	18
Q9BX59-3	14
Q9BX59-4	8
Q9BX59-5	10
Q9BX59-6	9
Q9BX59-7	19
Q6XPS3	31
Q6XPS3-2	30
Q6XPS3-3	30
Q6XPS3-4	23
Q6XPS3-5	27
Q6XPS3-6	13
Q6XPS3-7	29
O14763	21
O14763-3	7
O14763-2	22
Q9Y5M6	3
P20366	8
P20366-2	6
P20366-3	6
P20366-4	4
Q9UHF0	8
Q9UHF0-2	11
Q9UHF0-3	7
P51854	32
P51854-1	30
P51854-4	29
P29401	33
P29401-2	34
A0PJX2	11
Q9H808	29
Q9H808-2	24
O43897	60
O43897-2	21
O15455	48
O15455-2	31
Q9Y2C9	39
Q9Y2C9-2	24
A6NEH6	12
Q9NWD8	12
Q9NWD8-2	5
Q8WUH6	9
Q5VZI3	9
Q5VZI3-2	10
Q5VZI3-3	9
Q9BX73	4
Q9BX73-2	5
Q9H6F2	12
Q9NVV0	12
Q969M1	13
Q969M1-2	12
Q9NWC5	7
Q4KMG9	6
Q4KMG9-2	5
Q7Z5M5	52
Q7Z5M5-2	31
Q8N6Q1	17
Q8N6Q1-2	13
Q6UXY8	43
Q6UXY8-2	41
Q6UXY8-3	28
Q6UXY8-4	25
Q7Z403	32
Q7Z403-2	17
Q7Z403-3	18
Q7Z403-4	6
Q9UM00	7
Q9UM00-2	6
Q15363	11
Q9Y3A6	11
Q9Y3A6-2	10
Q9Y2B1	20
Q8NDY8	3
Q8NDY8-2	5
Q9NZQ9	18
Q9NZQ9-2	17
Q8N394	45
Q71RG4	10
Q71RG4-2	10
Q71RG4-3	5
Q71RG4-4	0
Q03169	38
P21580	49
Q13472	56
Q13472-2	55
Q13472-3	53
O14657	20
Q9NXH8	28
P0DI82	9
P09493	23
P09493-2	17
P09493-3	23
P09493-4	23
P09493-5	22
P09493-6	23
P09493-7	23
P09493-8	23
P09493-9	23
P09493-10	23
P67936	21
P67936-2	23
Q17RH7	4
P12270	140
P12270-2	56
Q9ULW0	42
Q9ULW0-2	44
O14798	6
Q9UI30	9
Q9UI30-2	8
Q96RJ3	5
Q96RJ3-2	5
Q9Y2W1	57
Q6F5E7	9
A6NDI0	24
A6NI03	22
Q9H4I3	22
Q9H4I3-2	19
O14545	26
O14545-2	12
Q8NFZ5	28
Q8NFZ5-2	22
Q9H2S6	12
Q9H2S6-2	7
Q9H2S6-3	9
P50616	12
Q96GM8	25
Q96GM8-2	17
Q15388	6
Q9NS69	7
Q96B49	3
O94826	36
Q9P0U1	4
Q92547	81
O94842	17
O94842-2	17
O94842-3	17
Q6P589	11
Q5T215	13
Q5T215-2	6
Q8IWU9	32
Q8IWU9-2	33
Q9H3S4	9
Q9H3S4-2	7
P06753	24
P06753-2	21
P06753-3	22
P06753-4	22
P06753-5	21
P06753-6	20
P06753-7	13
Q5T6R2	5
Q5T6R2-2	5
O00300	30
Q8N609	11
Q9BUZ4	32
Q9BUZ4-2	15
Q6Q0C0	40
Q6Q0C0-2	36
Q12931	48
Q12931-2	44
P01850	10
O43280	32
O43280-2	30
Q96PN7	44
Q96PN7-2	35
Q96PN7-3	36
Q96PN7-4	41
Q96PN7-5	42
P03986	13
Q9UKU6	57
Q07283	89
P20396	10
Q14258	38
P0CI25	22
Q5EBN2	15
Q86UV7	18
Q9C037	31
Q9C037-2	29
Q9C037-3	17
Q8N7C3	20
Q8N7C3-2	15
Q86YW5	9
Q86YW5-2	6
Q86YW5-3	7
Q12815	36
Q12815-2	9
Q12815-3	7
Q12816	30
Q12816-2	28
Q12816-3	16
Q12816-4	22
Q12816-5	20
Q99595	8
Q7Z402	34
Q7Z402-2	28
Q8IU68	34
Q8IU68-2	21
Q9ULS5	30
Q6UWJ1	32
Q6UWJ1-2	28
Q6UWJ1-3	23
Q86X19	10
Q96HH6	4
Q96HH6-2	5
Q69YG0	2
Q0P6H9	31
Q6P5X7	9
Q6P5X7-2	9
Q6P5X7-3	8
Q96NL1	15
Q96HE8	5
Q96HE8-2	5
Q96HE8-3	4
Q6ZNR0	6
Q6ZNR0-2	6
Q6ZNR0-3	5
Q6ZNR0-4	4
Q6ZNR0-5	5
Q9NQ34	14
Q9NQ34-2	8
Q9NZR1	22
Q9NZR1-2	19
P57727	19
P57727-2	12
P57727-3	16
P57727-4	14
P57727-5	19
P57727-6	22
Q7RTY8	54
Q7RTY8-2	45
Q7RTY8-3	35
Q7Z410	55
O75888	11
O75888-2	10
O75888-3	11
O75888-4	9
O75888-5	8
P63316	7
P13805	13
P13805-2	12
P13805-3	12
P45379	18
P45379-2	18
P45379-3	18
P45379-4	18
P45379-5	17
P45379-6	16
P45379-7	16
P45379-8	18
P45379-9	16
P45379-10	17
P45379-11	15
P45379-12	15
P08138	15
P08138-2	12
Q9HAV5	12
Q9HAV5-2	12
Q9HAV5-3	12
Q8NDV7	78
Q8NDV7-2	72
Q8NDV7-3	16
Q8NDV7-4	5
Q8NDV7-5	77
Q8NDV7-6	77
Q7Z2V1	9
O60784	19
O60784-2	19
O60784-3	16
O60784-4	18
O14656	17
O14656-2	5
Q5GJ75	17
P48553	62
P48553-2	14
P17752	31
P17752-2	32
Q9HCN2	5
Q9HCN2-2	5
Q9HCN2-3	6
Q9HCN2-4	5
P60174	19
P60174-1	16
P60174-4	11
P51580	14
P40238	24
P40238-2	24
P29144	70
Q56UQ5	6
O14836	18
O14836-2	14
O14836-3	16
P0CI26	22
Q15628	14
Q15628-2	11
Q13114	40
Q13114-2	33
Q6PIZ9	5
P36406	32
P36406-2	32
P36406-3	30
Q9BZY9	29
Q9BZY9-2	20
Q9UPN9	52
Q9UPN9-2	50
Q9HCM9	33
Q9HCM9-2	31
Q8IWZ5	40
Q8IWZ5-2	24
Q9H8W5	37
Q9H8W5-2	35
Q96LD4	35
Q96LD4-2	23
Q9BSJ1	21
Q9BSJ1-2	14
Q9BYV6	30
Q9BYV6-2	27
Q9BYV6-3	29
Q9BYV6-4	17
Q8NG06	28
Q86UV6	17
Q86UV6-2	16
Q96RU7	22
Q9BZR9	24
Q9NXH9	40
Q9NXH9-2	38
Q96FX7	14
Q9BWF2	31
A0A5B9	10
Q8IYL2	42
Q8IYL2-2	25
Q8IYL2-3	20
Q9UET6	10
Q9UET6-2	10
O75762	63
P48995	41
P48995-2	41
Q9UBN4	56
Q9UBN4-2	50
Q9UBN4-3	45
Q9UBN4-4	46
Q9UBN4-5	56
Q9UBN4-6	47
Q9UBN4-7	21
Q7Z4N2	91
Q7Z4N2-2	87
Q7Z4N2-3	91
Q7Z4N2-4	16
Q7Z4N2-5	93
Q7Z4N2-6	92
Q7Z4N2-7	8
Q9NZQ8	58
Q9NZQ8-2	58
Q9NZQ8-3	45
Q9BX84	113
Q9BX84-2	113
Q9BX84-3	113
Q9BX84-4	107
Q9BX84-5	64
Q9BX84-6	56
Q9BX84-7	37
Q9Y4A5	239
Q9Y4A5-2	238
O95900	24
O95900-2	20
P35030	16
P35030-2	13
P35030-3	12
P35030-4	13
P35030-5	12
